care_center_id,room_id,room_type,rate
cc-idn-1,r-idn-iii-3212,Class III,94.5
cc-idn-1,r-idn-iii-3376,Class III,94.5
cc-idn-2,r-idn-iii-3449,Class III,115.65
cc-idn-1,r-idn-iii-3521,Class III,94.5
cc-idn-2,r-idn-iii-3850,Class III,115.65
cc-idn-1,r-idn-iii-4317,Class III,94.5
cc-idn-2,r-idn-iii-4334,Class III,115.65
cc-idn-2,r-idn-iii-4390,Class III,115.65
cc-idn-2,r-idn-iii-4590,Class III,115.65
cc-idn-1,r-idn-iii-4697,Class III,94.5
cc-idn-1,r-idn-iii-4801,Class III,94.5
cc-idn-2,r-idn-iii-5028,Class III,115.65
cc-idn-1,r-idn-iii-5402,Class III,94.5
cc-idn-1,r-idn-iii-5414,Class III,94.5
cc-idn-1,r-idn-iii-5507,Class III,94.5
cc-idn-1,r-idn-iii-5663,Class III,94.5
cc-idn-2,r-idn-iii-5720,Class III,115.65
cc-idn-1,r-idn-iii-5878,Class III,94.5
cc-idn-1,r-idn-iii-6003,Class III,94.5
cc-idn-1,r-idn-iii-6268,Class III,94.5
cc-idn-1,r-idn-iii-6986,Class III,94.5
cc-idn-1,r-idn-iii-7184,Class III,94.5
cc-idn-2,r-idn-iii-7884,Class III,115.65
cc-idn-2,r-idn-iii-8005,Class III,115.65
cc-idn-1,r-idn-iii-8441,Class III,94.5
cc-idn-1,r-idn-iii-9095,Class III,94.5
cc-idn-2,r-idn-iii-9106,Class III,115.65
cc-idn-1,r-idn-iii-9162,Class III,94.5
cc-idn-1,r-idn-iii-9660,Class III,94.5
cc-idn-1,r-idn-iii-9731,Class III,94.5
cc-idn-2,r-idn-iii-9887,Class III,115.65
cc-idn-1,r-idn-vip-0356,VIP,615.4
cc-idn-2,r-idn-vip-0582,VIP,627.13
cc-idn-1,r-idn-vip-0634,VIP,615.4
cc-idn-1,r-idn-vip-0767,VIP,615.4
cc-idn-2,r-idn-vip-1066,VIP,627.13
cc-idn-2,r-idn-vip-1742,VIP,627.13
cc-idn-1,r-idn-vip-1990,VIP,615.4
cc-idn-2,r-idn-vip-2071,VIP,627.13
cc-idn-2,r-idn-vip-2145,VIP,627.13
cc-idn-1,r-idn-vip-2151,VIP,615.4
cc-idn-1,r-idn-vip-2624,VIP,615.4
cc-idn-1,r-idn-vip-2740,VIP,615.4
cc-idn-1,r-idn-vip-3364,VIP,615.4
cc-idn-2,r-idn-vip-3445,VIP,627.13
cc-idn-1,r-idn-vip-3635,VIP,615.4
cc-idn-2,r-idn-vip-4229,VIP,627.13
cc-idn-2,r-idn-vip-4753,VIP,627.13
cc-idn-1,r-idn-vip-5009,VIP,615.4
cc-idn-2,r-idn-vip-5365,VIP,627.13
cc-idn-1,r-idn-vip-6476,VIP,615.4
cc-idn-2,r-idn-vip-7029,VIP,627.13
cc-idn-2,r-idn-vip-7063,VIP,627.13
cc-idn-2,r-idn-vip-7114,VIP,627.13
cc-idn-2,r-idn-vip-7211,VIP,627.13
cc-idn-2,r-idn-vip-7343,VIP,627.13
cc-idn-2,r-idn-vip-8022,VIP,627.13
cc-idn-2,r-idn-vip-8171,VIP,627.13
cc-idn-1,r-idn-vip-8264,VIP,615.4
cc-idn-2,r-idn-vip-8565,VIP,627.13
cc-idn-2,r-idn-vip-8704,VIP,627.13
cc-idn-2,r-idn-vip-9334,VIP,627.13
cc-idn-2,r-idn-vip-9617,VIP,627.13
cc-idn-2,r-idn-vip-9665,VIP,627.13
cc-idn-2,r-idn-vip-9724,VIP,627.13
cc-idn-2,r-idn-vip-9745,VIP,627.13
cc-idn-1,r-idn-vvip-0036,VVIP,970.83
cc-idn-2,r-idn-vvip-0269,VVIP,940.92
cc-idn-2,r-idn-vvip-0376,VVIP,940.92
cc-idn-2,r-idn-vvip-0845,VVIP,940.92
cc-idn-1,r-idn-vvip-0893,VVIP,970.83
cc-idn-1,r-idn-vvip-2193,VVIP,970.83
cc-idn-2,r-idn-vvip-2416,VVIP,940.92
cc-idn-1,r-idn-vvip-2510,VVIP,970.83
cc-idn-2,r-idn-vvip-2520,VVIP,940.92
cc-idn-2,r-idn-vvip-2578,VVIP,940.92
cc-idn-1,r-idn-vvip-2661,VVIP,970.83
cc-idn-1,r-idn-vvip-2740,VVIP,970.83
cc-idn-2,r-idn-vvip-2872,VVIP,940.92
cc-idn-2,r-idn-vvip-2899,VVIP,940.92
cc-idn-2,r-idn-vvip-3616,VVIP,940.92
cc-idn-1,r-idn-vvip-3669,VVIP,970.83
cc-idn-1,r-idn-vvip-4059,VVIP,970.83
cc-idn-2,r-idn-vvip-4308,VVIP,940.92
cc-idn-1,r-idn-vvip-4621,VVIP,970.83
cc-idn-1,r-idn-vvip-4831,VVIP,970.83
cc-idn-2,r-idn-vvip-5557,VVIP,940.92
cc-idn-1,r-idn-vvip-6847,VVIP,970.83
cc-idn-1,r-idn-vvip-6869,VVIP,970.83
cc-idn-2,r-idn-vvip-7650,VVIP,940.92
cc-idn-2,r-idn-vvip-7757,VVIP,940.92
cc-idn-2,r-idn-vvip-7803,VVIP,940.92
cc-idn-1,r-idn-vvip-8077,VVIP,970.83
cc-idn-2,r-idn-vvip-8874,VVIP,940.92
cc-idn-1,r-idn-vvip-8917,VVIP,970.83
cc-idn-2,r-idn-vvip-8925,VVIP,940.92
cc-idn-2,r-idn-vvip-8927,VVIP,940.92
cc-idn-1,r-idn-vvip-9507,VVIP,970.83
cc-idn-2,r-idn-vvip-9744,VVIP,940.92
cc-idn-1,r-idn-vvip-9945,VVIP,970.83
