room_id,room_type,care_center_id,rate
r-idn-iii-6268,Class III,cc-idn-1,94.5
r-idn-ii-5318,Class II,cc-idn-1,195.46
r-idn-vvip-3616,VVIP,cc-idn-2,940.92
r-idn-vvip-4621,VVIP,cc-idn-1,970.83
r-idn-vip-2145,VIP,cc-idn-2,627.13
r-idn-iii-6003,Class III,cc-idn-1,94.5
r-idn-ii-1705,Class II,cc-idn-2,240.15
r-idn-vip-9334,VIP,cc-idn-2,627.13
r-idn-vip-4753,VIP,cc-idn-2,627.13
r-idn-iii-8005,Class III,cc-idn-2,115.65
r-idn-ii-9459,Class II,cc-idn-1,195.46
r-idn-i-7261,Class I,cc-idn-1,359.31
r-idn-iii-4317,Class III,cc-idn-1,94.5
r-idn-ii-5799,Class II,cc-idn-2,240.15
r-idn-vvip-9507,VVIP,cc-idn-1,970.83
r-idn-vip-3445,VIP,cc-idn-2,627.13
r-idn-ii-3199,Class II,cc-idn-1,195.46
r-idn-vvip-2416,VVIP,cc-idn-2,940.92
r-idn-vip-5009,VIP,cc-idn-1,615.4
r-idn-i-7125,Class I,cc-idn-1,359.31
r-idn-vip-1990,VIP,cc-idn-1,615.4
r-idn-ii-1227,Class II,cc-idn-1,195.46
r-idn-vvip-8925,VVIP,cc-idn-2,940.92
r-idn-ii-9148,Class II,cc-idn-2,240.15
r-idn-iii-1707,Class III,cc-idn-1,94.5
r-idn-vvip-7757,VVIP,cc-idn-2,940.92
r-idn-vvip-2661,VVIP,cc-idn-1,970.83
r-idn-i-9345,Class I,cc-idn-2,315.24
r-idn-vip-0356,VIP,cc-idn-1,615.4
r-idn-iii-5878,Class III,cc-idn-1,94.5
r-idn-vvip-4308,VVIP,cc-idn-2,940.92
r-idn-vvip-2578,VVIP,cc-idn-2,940.92
r-idn-iii-0999,Class III,cc-idn-1,94.5
r-idn-vip-2740,VIP,cc-idn-1,615.4
r-idn-iii-1460,Class III,cc-idn-2,115.65
r-idn-iii-2900,Class III,cc-idn-2,115.65
r-idn-vip-7029,VIP,cc-idn-2,627.13
r-idn-ii-4688,Class II,cc-idn-1,195.46
r-idn-vvip-7650,VVIP,cc-idn-2,940.92
r-idn-i-9649,Class I,cc-idn-1,359.31
r-idn-ii-3562,Class II,cc-idn-1,195.46
r-idn-vvip-4059,VVIP,cc-idn-1,970.83
r-idn-iii-9887,Class III,cc-idn-2,115.65
r-idn-vvip-0036,VVIP,cc-idn-1,970.83
r-idn-vip-0582,VIP,cc-idn-2,627.13
r-idn-vip-1742,VIP,cc-idn-2,627.13
r-idn-ii-6805,Class II,cc-idn-1,195.46
r-idn-i-8497,Class I,cc-idn-1,359.31
r-idn-ii-6603,Class II,cc-idn-2,240.15
r-idn-vvip-0845,VVIP,cc-idn-2,940.92
r-idn-iii-8441,Class III,cc-idn-1,94.5
r-idn-iii-4334,Class III,cc-idn-2,115.65
r-idn-i-8045,Class I,cc-idn-1,359.31
r-idn-vip-0767,VIP,cc-idn-1,615.4
r-idn-vvip-3669,VVIP,cc-idn-1,970.83
r-idn-ii-3200,Class II,cc-idn-1,195.46
r-idn-vip-7063,VIP,cc-idn-2,627.13
r-idn-vvip-7803,VVIP,cc-idn-2,940.92
r-idn-i-4044,Class I,cc-idn-2,315.24
r-idn-vvip-4831,VVIP,cc-idn-1,970.83
r-idn-i-0493,Class I,cc-idn-1,359.31
r-idn-vvip-2510,VVIP,cc-idn-1,970.83
r-idn-ii-2326,Class II,cc-idn-1,195.46
r-idn-vvip-2872,VVIP,cc-idn-2,940.92
r-idn-ii-1294,Class II,cc-idn-1,195.46
r-idn-i-3164,Class I,cc-idn-1,359.31
r-idn-ii-0964,Class II,cc-idn-2,240.15
r-idn-vip-8022,VIP,cc-idn-2,627.13
r-idn-ii-9202,Class II,cc-idn-1,195.46
r-idn-iii-9162,Class III,cc-idn-1,94.5
r-idn-i-9192,Class I,cc-idn-1,359.31
r-idn-iii-6986,Class III,cc-idn-1,94.5
r-idn-ii-7158,Class II,cc-idn-1,195.46
r-idn-iii-9095,Class III,cc-idn-1,94.5
r-idn-iii-2918,Class III,cc-idn-2,115.65
r-idn-ii-5795,Class II,cc-idn-1,195.46
r-idn-iii-5402,Class III,cc-idn-1,94.5
r-idn-iii-3000,Class III,cc-idn-2,115.65
r-idn-i-6924,Class I,cc-idn-2,315.24
r-idn-vvip-2193,VVIP,cc-idn-1,970.83
r-idn-vvip-6847,VVIP,cc-idn-1,970.83
r-idn-vip-8264,VIP,cc-idn-1,615.4
r-idn-i-6616,Class I,cc-idn-2,315.24
r-idn-i-5732,Class I,cc-idn-1,359.31
r-idn-vvip-5557,VVIP,cc-idn-2,940.92
r-idn-iii-1498,Class III,cc-idn-2,115.65
r-idn-ii-7718,Class II,cc-idn-1,195.46
r-idn-iii-5507,Class III,cc-idn-1,94.5
r-idn-ii-5756,Class II,cc-idn-2,240.15
r-idn-ii-6231,Class II,cc-idn-1,195.46
r-idn-vvip-8927,VVIP,cc-idn-2,940.92
r-idn-i-8397,Class I,cc-idn-1,359.31
r-idn-iii-5663,Class III,cc-idn-1,94.5
r-idn-i-6392,Class I,cc-idn-2,315.24
r-idn-vip-9724,VIP,cc-idn-2,627.13
r-idn-i-5102,Class I,cc-idn-2,315.24
r-idn-i-5830,Class I,cc-idn-1,359.31
r-idn-ii-4286,Class II,cc-idn-2,240.15
r-idn-ii-0705,Class II,cc-idn-1,195.46
r-idn-iii-2936,Class III,cc-idn-1,94.5
r-idn-ii-6615,Class II,cc-idn-1,195.46
r-idn-i-0759,Class I,cc-idn-2,315.24
r-idn-ii-9783,Class II,cc-idn-2,240.15
r-idn-vip-5365,VIP,cc-idn-2,627.13
r-idn-i-3503,Class I,cc-idn-1,359.31
r-idn-vip-8171,VIP,cc-idn-2,627.13
r-idn-i-7117,Class I,cc-idn-1,359.31
r-idn-ii-2751,Class II,cc-idn-1,195.46
r-idn-iii-3376,Class III,cc-idn-1,94.5
r-idn-vip-9617,VIP,cc-idn-2,627.13
r-idn-iii-0895,Class III,cc-idn-1,94.5
r-idn-vip-4229,VIP,cc-idn-2,627.13
r-idn-i-9295,Class I,cc-idn-2,315.24
r-idn-iii-0632,Class III,cc-idn-2,115.65
r-idn-ii-4195,Class II,cc-idn-1,195.46
r-idn-vip-6476,VIP,cc-idn-1,615.4
r-idn-i-1546,Class I,cc-idn-2,315.24
r-idn-i-2385,Class I,cc-idn-2,315.24
r-idn-ii-8139,Class II,cc-idn-2,240.15
r-idn-vvip-2740,VVIP,cc-idn-1,970.83
r-idn-vip-7211,VIP,cc-idn-2,627.13
r-idn-i-4398,Class I,cc-idn-1,359.31
r-idn-ii-8660,Class II,cc-idn-2,240.15
r-idn-iii-3449,Class III,cc-idn-2,115.65
r-idn-iii-1271,Class III,cc-idn-2,115.65
r-idn-i-9881,Class I,cc-idn-1,359.31
r-idn-ii-6504,Class II,cc-idn-2,240.15
r-idn-vip-9745,VIP,cc-idn-2,627.13
