bed_id,care_center_id,room_id
b-usa-1568,cc-usa-1,r-usa-vip-5169
b-usa-5239,cc-usa-2,r-usa-vvip-1174
b-usa-8812,cc-usa-2,r-usa-i-8908
b-usa-4549,cc-usa-1,r-usa-iii-2962
b-usa-3634,cc-usa-1,r-usa-ii-7950
b-usa-6694,cc-usa-2,r-usa-iii-1547
b-usa-4231,cc-usa-2,r-usa-iii-3130
b-usa-1103,cc-usa-1,r-usa-vvip-1174
b-usa-5831,cc-usa-2,r-usa-vip-0587
b-usa-4600,cc-usa-1,r-usa-vip-6903
b-usa-7006,cc-usa-2,r-usa-ii-8331
b-usa-6174,cc-usa-1,r-usa-iii-3667
b-usa-2524,cc-usa-1,r-usa-i-8280
b-usa-6111,cc-usa-1,r-usa-i-9075
b-usa-6892,cc-usa-2,r-usa-vvip-4710
b-usa-1691,cc-usa-2,r-usa-ii-6972
b-usa-6512,cc-usa-1,r-usa-iii-6704
b-usa-4631,cc-usa-1,r-usa-iii-7780
b-usa-6520,cc-usa-1,r-usa-ii-6545
b-usa-9899,cc-usa-2,r-usa-iii-4615
b-usa-9836,cc-usa-2,r-usa-vip-3401
b-usa-4467,cc-usa-1,r-usa-i-7946
b-usa-5867,cc-usa-2,r-usa-ii-3837
b-usa-1014,cc-usa-2,r-usa-vvip-4246
b-usa-0953,cc-usa-2,r-usa-iii-8563
b-usa-5545,cc-usa-1,r-usa-iii-9970
b-usa-5276,cc-usa-2,r-usa-vvip-2773
b-usa-5945,cc-usa-1,r-usa-iii-2962
b-usa-7694,cc-usa-1,r-usa-ii-7241
b-usa-8082,cc-usa-2,r-usa-vvip-5016
b-usa-7885,cc-usa-2,r-usa-vip-2057
b-usa-6579,cc-usa-2,r-usa-vvip-4685
b-usa-0959,cc-usa-2,r-usa-vvip-2312
b-usa-8754,cc-usa-1,r-usa-vip-7400
b-usa-7403,cc-usa-2,r-usa-i-5041
b-usa-8509,cc-usa-2,r-usa-iii-2726
b-usa-0416,cc-usa-2,r-usa-i-2268
b-usa-3830,cc-usa-2,r-usa-i-2978
b-usa-7919,cc-usa-1,r-usa-i-8061
b-usa-6477,cc-usa-1,r-usa-iii-7963
b-usa-4617,cc-usa-2,r-usa-vip-3088
b-usa-9575,cc-usa-2,r-usa-vip-1774
b-usa-5497,cc-usa-2,r-usa-i-6653
b-usa-1319,cc-usa-2,r-usa-ii-6457
b-usa-3652,cc-usa-2,r-usa-iii-5712
b-usa-7530,cc-usa-1,r-usa-i-5298
b-usa-4366,cc-usa-2,r-usa-ii-2534
b-usa-0383,cc-usa-2,r-usa-vip-0587
b-usa-0580,cc-usa-2,r-usa-iii-1499
b-usa-5101,cc-usa-2,r-usa-i-7946
b-usa-6267,cc-usa-1,r-usa-ii-6457
b-usa-9583,cc-usa-1,r-usa-ii-6457
b-usa-9208,cc-usa-1,r-usa-i-2978
b-usa-5723,cc-usa-1,r-usa-vip-6532
b-usa-4842,cc-usa-2,r-usa-ii-4324
b-usa-4660,cc-usa-1,r-usa-vvip-1174
b-usa-6036,cc-usa-1,r-usa-iii-2057
b-usa-3323,cc-usa-2,r-usa-vvip-2413
b-usa-0577,cc-usa-1,r-usa-vip-4766
b-usa-9637,cc-usa-2,r-usa-vvip-4710
b-usa-9179,cc-usa-2,r-usa-iii-9970
b-usa-3474,cc-usa-1,r-usa-vip-2254
b-usa-4350,cc-usa-1,r-usa-ii-5307
b-usa-8472,cc-usa-1,r-usa-ii-8331
b-usa-7453,cc-usa-1,r-usa-ii-2764
b-usa-2916,cc-usa-1,r-usa-ii-6126
b-usa-3244,cc-usa-1,r-usa-iii-0704
b-usa-4161,cc-usa-1,r-usa-vip-8775
b-usa-9556,cc-usa-1,r-usa-vip-5240
b-usa-1134,cc-usa-2,r-usa-vip-2254
b-usa-0923,cc-usa-2,r-usa-vvip-6493
b-usa-0656,cc-usa-2,r-usa-ii-7699
b-usa-2138,cc-usa-1,r-usa-vvip-4226
b-usa-0595,cc-usa-1,r-usa-iii-2726
b-usa-4143,cc-usa-1,r-usa-iii-8207
b-usa-2569,cc-usa-1,r-usa-ii-7241
b-usa-9519,cc-usa-2,r-usa-ii-7087
b-usa-9863,cc-usa-2,r-usa-iii-7632
b-usa-4660,cc-usa-2,r-usa-vvip-8310
b-usa-0442,cc-usa-2,r-usa-iii-1499
b-usa-3544,cc-usa-2,r-usa-ii-6972
b-usa-9996,cc-usa-1,r-usa-vip-6242
b-usa-0951,cc-usa-2,r-usa-vip-6353
b-usa-4684,cc-usa-2,r-usa-ii-6972
b-usa-8581,cc-usa-1,r-usa-ii-9195
b-usa-8745,cc-usa-1,r-usa-ii-9195
b-usa-9745,cc-usa-2,r-usa-vvip-3342
b-usa-0710,cc-usa-1,r-usa-i-3301
b-usa-3683,cc-usa-2,r-usa-vip-5014
b-usa-7444,cc-usa-2,r-usa-iii-1558
b-usa-1174,cc-usa-1,r-usa-iii-5817
b-usa-9662,cc-usa-1,r-usa-ii-7699
b-usa-8125,cc-usa-1,r-usa-iii-1149
b-usa-6298,cc-usa-2,r-usa-iii-1537
b-usa-7423,cc-usa-2,r-usa-ii-1489
b-usa-1995,cc-usa-1,r-usa-iii-9970
b-usa-5934,cc-usa-1,r-usa-i-8432
b-usa-1976,cc-usa-2,r-usa-vip-7400
b-usa-6197,cc-usa-1,r-usa-i-7162
b-usa-0752,cc-usa-1,r-usa-vvip-9758
b-usa-7670,cc-usa-1,r-usa-iii-1558
b-usa-6148,cc-usa-2,r-usa-vip-6121
b-usa-6472,cc-usa-1,r-usa-i-5148
b-usa-0995,cc-usa-2,r-usa-iii-3130
b-usa-0974,cc-usa-2,r-usa-vip-1209
b-usa-2200,cc-usa-1,r-usa-vvip-1283
b-usa-4592,cc-usa-1,r-usa-vvip-9758
b-usa-3051,cc-usa-2,r-usa-iii-3213
b-usa-6011,cc-usa-2,r-usa-ii-6485
b-usa-7629,cc-usa-1,r-usa-i-1699
b-usa-6124,cc-usa-1,r-usa-vip-0055
b-usa-5264,cc-usa-2,r-usa-vvip-0485
b-usa-9811,cc-usa-1,r-usa-vvip-6484
b-usa-9020,cc-usa-2,r-usa-vip-8766
b-usa-8417,cc-usa-2,r-usa-iii-8807
b-usa-1677,cc-usa-1,r-usa-vvip-4521
b-usa-6596,cc-usa-2,r-usa-ii-0282
b-usa-2983,cc-usa-2,r-usa-iii-6668
b-usa-3591,cc-usa-1,r-usa-vip-5897
b-usa-8916,cc-usa-2,r-usa-iii-3491
b-usa-5068,cc-usa-1,r-usa-iii-2962
b-usa-3595,cc-usa-2,r-usa-vvip-1041
b-usa-3162,cc-usa-2,r-usa-vvip-5192
b-usa-2392,cc-usa-1,r-usa-iii-6668
b-usa-1888,cc-usa-2,r-usa-iii-8807
b-usa-1971,cc-usa-1,r-usa-vip-6532
b-usa-7777,cc-usa-1,r-usa-ii-8011
b-usa-9664,cc-usa-2,r-usa-i-6653
b-usa-2112,cc-usa-1,r-usa-vvip-2783
b-usa-7544,cc-usa-1,r-usa-iii-0308
b-usa-2393,cc-usa-2,r-usa-vip-6178
b-usa-1605,cc-usa-2,r-usa-iii-7582
b-usa-9029,cc-usa-2,r-usa-ii-7241
b-usa-5526,cc-usa-2,r-usa-iii-9970
b-usa-9253,cc-usa-2,r-usa-i-9462
b-usa-5397,cc-usa-2,r-usa-i-7946
b-usa-5922,cc-usa-1,r-usa-iii-3491
b-usa-5680,cc-usa-1,r-usa-i-2268
b-usa-9068,cc-usa-2,r-usa-vip-6178
b-usa-3170,cc-usa-1,r-usa-vip-4712
b-usa-3968,cc-usa-2,r-usa-vvip-4710
b-usa-2914,cc-usa-1,r-usa-iii-1558
b-usa-2156,cc-usa-2,r-usa-vvip-2312
b-usa-3518,cc-usa-2,r-usa-iii-7963
b-usa-1798,cc-usa-2,r-usa-vip-6788
b-usa-7518,cc-usa-2,r-usa-vvip-7601
b-usa-8366,cc-usa-1,r-usa-ii-1489
b-usa-1800,cc-usa-1,r-usa-vip-8766
b-usa-5278,cc-usa-1,r-usa-vip-2595
b-usa-4734,cc-usa-1,r-usa-ii-8237
b-usa-4921,cc-usa-1,r-usa-vvip-0485
b-usa-7049,cc-usa-1,r-usa-ii-4324
b-usa-4183,cc-usa-1,r-usa-vip-6532
b-usa-3514,cc-usa-2,r-usa-vvip-0537
b-usa-9510,cc-usa-2,r-usa-ii-8720
b-usa-2893,cc-usa-1,r-usa-vip-2057
b-usa-9116,cc-usa-1,r-usa-iii-8563
b-usa-1949,cc-usa-2,r-usa-vip-7966
b-usa-0857,cc-usa-2,r-usa-i-3301
b-usa-0262,cc-usa-2,r-usa-vip-0055
b-usa-0824,cc-usa-2,r-usa-ii-6457
b-usa-0654,cc-usa-2,r-usa-vvip-7652
b-usa-9352,cc-usa-1,r-usa-vvip-2312
b-usa-5910,cc-usa-1,r-usa-iii-2962
b-usa-4390,cc-usa-2,r-usa-i-6653
b-usa-4279,cc-usa-1,r-usa-vvip-4521
b-usa-9484,cc-usa-2,r-usa-vip-7620
b-usa-7769,cc-usa-2,r-usa-vip-8766
b-usa-0834,cc-usa-1,r-usa-i-5899
b-usa-0177,cc-usa-2,r-usa-vip-5169
b-usa-8230,cc-usa-2,r-usa-vip-7966
b-usa-6941,cc-usa-1,r-usa-ii-3837
b-usa-1895,cc-usa-2,r-usa-i-9320
b-usa-1454,cc-usa-1,r-usa-vvip-2413
b-usa-6948,cc-usa-1,r-usa-iii-4615
b-usa-4441,cc-usa-1,r-usa-ii-8011
b-usa-7294,cc-usa-1,r-usa-i-4815
b-usa-1802,cc-usa-1,r-usa-i-6653
b-usa-7133,cc-usa-1,r-usa-vip-2057
b-usa-7519,cc-usa-1,r-usa-i-8432
b-usa-9131,cc-usa-2,r-usa-iii-3213
b-usa-7271,cc-usa-1,r-usa-ii-5307
b-usa-4656,cc-usa-1,r-usa-ii-7950
b-usa-0415,cc-usa-2,r-usa-ii-5307
b-usa-2449,cc-usa-1,r-usa-ii-8011
b-usa-0504,cc-usa-1,r-usa-i-6699
b-usa-2053,cc-usa-1,r-usa-vip-6788
b-usa-6657,cc-usa-1,r-usa-vip-0654
b-usa-2477,cc-usa-2,r-usa-vip-2217
b-usa-1692,cc-usa-2,r-usa-vvip-6353
b-usa-0787,cc-usa-2,r-usa-vvip-8224
b-usa-8879,cc-usa-1,r-usa-vvip-9238
b-usa-7897,cc-usa-2,r-usa-i-1183
b-usa-4972,cc-usa-2,r-usa-ii-3143
b-usa-8663,cc-usa-1,r-usa-vip-2057
b-usa-7529,cc-usa-1,r-usa-vip-8766
b-usa-5367,cc-usa-1,r-usa-vip-2214
b-usa-6837,cc-usa-2,r-usa-vip-1380
b-usa-3427,cc-usa-1,r-usa-ii-0282
b-usa-8438,cc-usa-1,r-usa-vip-6532
b-usa-7668,cc-usa-1,r-usa-vvip-4226
b-usa-7185,cc-usa-2,r-usa-ii-9664
b-usa-1176,cc-usa-1,r-usa-i-1699
b-usa-6937,cc-usa-2,r-usa-iii-8207
b-usa-7167,cc-usa-2,r-usa-ii-9664
b-usa-0146,cc-usa-2,r-usa-vvip-1174
b-usa-4832,cc-usa-1,r-usa-vvip-7067
b-usa-5527,cc-usa-2,r-usa-i-7503
b-usa-0604,cc-usa-2,r-usa-i-7162
b-usa-0828,cc-usa-2,r-usa-vvip-3569
b-usa-0763,cc-usa-1,r-usa-vvip-2413
b-usa-1235,cc-usa-1,r-usa-vvip-2969
b-usa-0788,cc-usa-2,r-usa-vip-1380
b-usa-9206,cc-usa-2,r-usa-vip-1209
b-usa-9767,cc-usa-2,r-usa-iii-2057
b-usa-1564,cc-usa-2,r-usa-ii-6457
b-usa-9029,cc-usa-1,r-usa-vvip-4226
b-usa-6081,cc-usa-1,r-usa-vip-1438
b-usa-3265,cc-usa-1,r-usa-iii-8207
b-usa-7602,cc-usa-2,r-usa-vip-4098
b-usa-1686,cc-usa-1,r-usa-vip-7521
b-usa-3795,cc-usa-1,r-usa-iii-5566
b-usa-7011,cc-usa-1,r-usa-iii-7632
b-usa-1701,cc-usa-1,r-usa-ii-0679
b-usa-2326,cc-usa-1,r-usa-ii-8720
b-usa-0055,cc-usa-2,r-usa-i-5041
b-usa-8881,cc-usa-1,r-usa-vvip-2969
b-usa-6793,cc-usa-2,r-usa-iii-9970
b-usa-4158,cc-usa-2,r-usa-i-8432
b-usa-1350,cc-usa-2,r-usa-ii-2534
b-usa-7209,cc-usa-2,r-usa-iii-2831
b-usa-9257,cc-usa-2,r-usa-iii-9384
b-usa-2564,cc-usa-1,r-usa-ii-6972
b-usa-2633,cc-usa-1,r-usa-iii-9532
b-usa-7551,cc-usa-2,r-usa-iii-8207
b-usa-8267,cc-usa-1,r-usa-iii-2791
b-usa-6227,cc-usa-2,r-usa-ii-9195
b-usa-8718,cc-usa-2,r-usa-vvip-5192
b-usa-6326,cc-usa-2,r-usa-vip-5496
b-usa-8568,cc-usa-2,r-usa-iii-6938
b-usa-2990,cc-usa-1,r-usa-i-8908
b-usa-4958,cc-usa-2,r-usa-vip-7620
b-usa-5195,cc-usa-2,r-usa-vip-3401
b-usa-4951,cc-usa-1,r-usa-i-5148
b-usa-7761,cc-usa-2,r-usa-ii-8331
b-usa-3002,cc-usa-2,r-usa-vvip-0537
b-usa-2900,cc-usa-2,r-usa-iii-1537
b-usa-5862,cc-usa-2,r-usa-vvip-3173
b-usa-5194,cc-usa-2,r-usa-vip-2057
b-usa-2855,cc-usa-1,r-usa-vip-0055
b-usa-7148,cc-usa-2,r-usa-iii-4396
b-usa-3172,cc-usa-2,r-usa-vip-1774
b-usa-3679,cc-usa-1,r-usa-vip-0654
b-usa-8537,cc-usa-2,r-usa-iii-6413
b-usa-3745,cc-usa-2,r-usa-vip-2217
b-usa-2382,cc-usa-2,r-usa-ii-1489
b-usa-6636,cc-usa-1,r-usa-vvip-3084
b-usa-2256,cc-usa-2,r-usa-vvip-4710
b-usa-7038,cc-usa-2,r-usa-vip-7966
b-usa-3276,cc-usa-1,r-usa-vvip-7512
b-usa-5655,cc-usa-1,r-usa-vip-8775
b-usa-6319,cc-usa-1,r-usa-ii-4324
b-usa-2986,cc-usa-1,r-usa-vip-6532
b-usa-1254,cc-usa-2,r-usa-vip-6178
b-usa-3752,cc-usa-1,r-usa-vip-2057
b-usa-9526,cc-usa-1,r-usa-vip-5240
b-usa-5861,cc-usa-1,r-usa-vvip-7652
b-usa-9508,cc-usa-2,r-usa-i-5899
b-usa-3280,cc-usa-1,r-usa-iii-8207
b-usa-8274,cc-usa-1,r-usa-vip-3088
b-usa-2712,cc-usa-2,r-usa-vip-6178
b-usa-7245,cc-usa-1,r-usa-ii-2764
b-usa-3060,cc-usa-1,r-usa-iii-1547
b-usa-9874,cc-usa-2,r-usa-ii-5307
b-usa-9248,cc-usa-2,r-usa-i-6699
b-usa-0648,cc-usa-1,r-usa-vip-5169
b-usa-6655,cc-usa-1,r-usa-iii-0021
b-usa-6321,cc-usa-2,r-usa-vvip-1283
b-usa-2892,cc-usa-2,r-usa-vip-1209
b-usa-1463,cc-usa-2,r-usa-ii-5307
b-usa-3388,cc-usa-2,r-usa-iii-9386
b-usa-8226,cc-usa-1,r-usa-vip-5014
b-usa-8475,cc-usa-2,r-usa-iii-9532
b-usa-6040,cc-usa-2,r-usa-iii-6704
b-usa-6706,cc-usa-2,r-usa-iii-4615
b-usa-9769,cc-usa-2,r-usa-vip-3088
b-usa-9696,cc-usa-2,r-usa-vip-4098
b-usa-6744,cc-usa-2,r-usa-vip-6532
b-usa-9093,cc-usa-2,r-usa-i-8082
b-usa-9430,cc-usa-2,r-usa-vvip-4226
b-usa-9985,cc-usa-1,r-usa-iii-4396
b-usa-5954,cc-usa-2,r-usa-vip-2158
b-usa-0660,cc-usa-1,r-usa-vvip-5192
b-usa-0458,cc-usa-1,r-usa-vip-7966
b-usa-8479,cc-usa-2,r-usa-i-3301
b-usa-6313,cc-usa-2,r-usa-iii-7963
b-usa-8928,cc-usa-2,r-usa-vip-6262
b-usa-0650,cc-usa-2,r-usa-vip-5014
b-usa-4043,cc-usa-1,r-usa-i-5041
b-usa-6666,cc-usa-2,r-usa-i-5148
b-usa-9080,cc-usa-1,r-usa-ii-7241
b-usa-6684,cc-usa-1,r-usa-ii-6972
b-usa-3661,cc-usa-2,r-usa-iii-8207
b-usa-3734,cc-usa-2,r-usa-vvip-1283
b-usa-5359,cc-usa-1,r-usa-iii-3491
b-usa-7997,cc-usa-1,r-usa-ii-8143
b-usa-7422,cc-usa-2,r-usa-vvip-0537
b-usa-8811,cc-usa-1,r-usa-vip-2254
b-usa-0032,cc-usa-2,r-usa-i-6653
b-usa-6264,cc-usa-1,r-usa-vip-9992
b-usa-5418,cc-usa-1,r-usa-ii-1489
b-usa-8576,cc-usa-1,r-usa-vip-0036
b-usa-4572,cc-usa-1,r-usa-vvip-4246
b-usa-9533,cc-usa-1,r-usa-vip-1650
b-usa-9685,cc-usa-2,r-usa-ii-0282
b-usa-8147,cc-usa-2,r-usa-ii-7211
b-usa-7731,cc-usa-1,r-usa-iii-7683
b-usa-3182,cc-usa-2,r-usa-ii-0679
b-usa-7255,cc-usa-2,r-usa-i-8908
b-usa-3820,cc-usa-2,r-usa-i-4815
b-usa-8288,cc-usa-1,r-usa-iii-7780
b-usa-3374,cc-usa-2,r-usa-vip-5169
b-usa-0646,cc-usa-2,r-usa-iii-6938
b-usa-9612,cc-usa-1,r-usa-iii-5566
b-usa-9434,cc-usa-2,r-usa-i-5511
b-usa-1768,cc-usa-2,r-usa-iii-1537
b-usa-6627,cc-usa-2,r-usa-iii-7582
b-usa-8467,cc-usa-2,r-usa-vvip-7601
b-usa-0770,cc-usa-1,r-usa-iii-3107
b-usa-1364,cc-usa-1,r-usa-ii-7446
b-usa-2221,cc-usa-2,r-usa-vvip-7067
b-usa-5036,cc-usa-1,r-usa-iii-3491
b-usa-8204,cc-usa-1,r-usa-iii-6704
b-usa-0580,cc-usa-1,r-usa-ii-9195
b-usa-3972,cc-usa-1,r-usa-ii-8331
b-usa-6985,cc-usa-2,r-usa-vip-6788
b-usa-4933,cc-usa-1,r-usa-vvip-3342
b-usa-2687,cc-usa-1,r-usa-vip-1209
b-usa-3389,cc-usa-2,r-usa-i-9462
b-usa-4010,cc-usa-1,r-usa-iii-6413
b-usa-5153,cc-usa-2,r-usa-vvip-6484
b-usa-8653,cc-usa-2,r-usa-vvip-7512
b-usa-5675,cc-usa-2,r-usa-iii-6266
b-usa-9013,cc-usa-1,r-usa-i-8133
b-usa-2489,cc-usa-1,r-usa-vvip-2969
b-usa-6617,cc-usa-1,r-usa-ii-8331
b-usa-1653,cc-usa-1,r-usa-i-3419
b-usa-2321,cc-usa-1,r-usa-ii-0282
b-usa-8189,cc-usa-2,r-usa-vvip-7601
b-usa-2677,cc-usa-1,r-usa-vvip-5192
b-usa-1154,cc-usa-2,r-usa-i-3419
b-usa-6562,cc-usa-2,r-usa-vvip-1174
b-usa-4075,cc-usa-2,r-usa-vvip-9554
b-usa-1058,cc-usa-2,r-usa-i-5041
b-usa-6640,cc-usa-1,r-usa-vvip-8193
b-usa-3118,cc-usa-2,r-usa-vvip-3005
b-usa-2699,cc-usa-2,r-usa-i-3301
b-usa-3391,cc-usa-2,r-usa-iii-1499
b-usa-5735,cc-usa-2,r-usa-vip-5240
b-usa-0795,cc-usa-1,r-usa-vip-2217
b-usa-6771,cc-usa-1,r-usa-iii-1558
b-usa-3921,cc-usa-1,r-usa-iii-9532
b-usa-1776,cc-usa-2,r-usa-ii-7087
b-usa-8106,cc-usa-2,r-usa-ii-1489
b-usa-7457,cc-usa-2,r-usa-iii-9440
b-usa-9229,cc-usa-1,r-usa-vvip-4685
b-usa-9224,cc-usa-2,r-usa-vvip-3342
b-usa-2435,cc-usa-2,r-usa-i-8280
b-usa-9937,cc-usa-1,r-usa-vip-6121
b-usa-3664,cc-usa-2,r-usa-vvip-1283
b-usa-8387,cc-usa-1,r-usa-ii-7446
b-usa-4053,cc-usa-2,r-usa-ii-0679
b-usa-7001,cc-usa-2,r-usa-vvip-6484
b-usa-8096,cc-usa-2,r-usa-iii-9363
b-usa-0321,cc-usa-1,r-usa-vip-6262
b-usa-4863,cc-usa-1,r-usa-vip-6903
b-usa-7105,cc-usa-2,r-usa-vvip-3058
b-usa-4062,cc-usa-2,r-usa-i-6653
b-usa-5888,cc-usa-2,r-usa-vvip-6484
b-usa-9179,cc-usa-1,r-usa-iii-7683
b-usa-1403,cc-usa-1,r-usa-vvip-7512
b-usa-9690,cc-usa-1,r-usa-ii-5936
b-usa-1493,cc-usa-1,r-usa-vvip-8193
b-usa-4872,cc-usa-1,r-usa-iii-2108
b-usa-4693,cc-usa-1,r-usa-vvip-8224
b-usa-5878,cc-usa-2,r-usa-vvip-5192
b-usa-5416,cc-usa-2,r-usa-i-5899
b-usa-8000,cc-usa-1,r-usa-vip-9966
b-usa-6759,cc-usa-2,r-usa-iii-3107
b-usa-1472,cc-usa-1,r-usa-iii-7582
b-usa-8780,cc-usa-2,r-usa-vip-2158
b-usa-2461,cc-usa-1,r-usa-vvip-7652
b-usa-1306,cc-usa-1,r-usa-vvip-4226
b-usa-9381,cc-usa-1,r-usa-ii-6545
b-usa-1987,cc-usa-1,r-usa-vvip-0485
b-usa-1504,cc-usa-1,r-usa-ii-6457
b-usa-9703,cc-usa-2,r-usa-vip-5496
b-usa-0385,cc-usa-1,r-usa-vvip-3342
b-usa-5487,cc-usa-1,r-usa-ii-2534
b-usa-8702,cc-usa-1,r-usa-i-8280
b-usa-3734,cc-usa-1,r-usa-vip-0654
b-usa-1978,cc-usa-1,r-usa-i-6563
b-usa-4781,cc-usa-2,r-usa-vip-6903
b-usa-5630,cc-usa-1,r-usa-vvip-3173
b-usa-9453,cc-usa-1,r-usa-iii-2831
b-usa-3629,cc-usa-2,r-usa-iii-3213
b-usa-1096,cc-usa-2,r-usa-ii-7950
b-usa-2219,cc-usa-1,r-usa-ii-8011
b-usa-0428,cc-usa-1,r-usa-ii-8237
b-usa-9316,cc-usa-2,r-usa-i-9075
b-usa-1117,cc-usa-2,r-usa-vvip-4822
b-usa-2476,cc-usa-1,r-usa-vvip-6493
b-usa-3890,cc-usa-2,r-usa-iii-2831
b-usa-0477,cc-usa-2,r-usa-vvip-3342
b-usa-3834,cc-usa-2,r-usa-i-5041
