room_id,room_type,care_center_id,rate
r-usa-vip-323,VIP,cc-usa-2,623.73
r-usa-ii-542,Class II,cc-usa-2,214.66
r-usa-vip-535,VIP,cc-usa-2,623.73
r-usa-i-50,Class I,cc-usa-1,410.26
r-usa-iii-365,Class III,cc-usa-1,53.36
r-usa-ii-159,Class II,cc-usa-1,165.23
r-usa-i-867,Class I,cc-usa-1,410.26
r-usa-vip-969,VIP,cc-usa-2,623.73
r-usa-vvip-931,VVIP,cc-usa-2,827.07
r-usa-i-273,Class I,cc-usa-2,494.84
r-usa-vvip-585,VVIP,cc-usa-2,827.07
r-usa-vvip-237,VVIP,cc-usa-1,943.86
r-usa-ii-244,Class II,cc-usa-1,165.23
r-usa-vip-206,VIP,cc-usa-1,609.2
r-usa-i-769,Class I,cc-usa-2,494.84
r-usa-i-75,Class I,cc-usa-1,410.26
r-usa-vvip-865,VVIP,cc-usa-2,827.07
r-usa-ii-443,Class II,cc-usa-1,165.23
r-usa-ii-683,Class II,cc-usa-2,214.66
r-usa-vip-382,VIP,cc-usa-2,623.73
r-usa-iii-730,Class III,cc-usa-1,53.36
r-usa-iii-566,Class III,cc-usa-2,137.51
r-usa-iii-806,Class III,cc-usa-2,137.51
r-usa-vvip-797,VVIP,cc-usa-2,827.07
r-usa-iii-726,Class III,cc-usa-2,137.51
r-usa-iii-995,Class III,cc-usa-1,53.36
r-usa-vvip-115,VVIP,cc-usa-2,827.07
r-usa-vvip-809,VVIP,cc-usa-2,827.07
r-usa-ii-589,Class II,cc-usa-1,165.23
r-usa-vvip-840,VVIP,cc-usa-1,943.86
r-usa-ii-877,Class II,cc-usa-2,214.66
r-usa-iii-769,Class III,cc-usa-2,137.51
r-usa-i-498,Class I,cc-usa-1,410.26
r-usa-vip-890,VIP,cc-usa-1,609.2
