room_id,bed_id,care_center_id
r-usa-ii-421,b-usa-183,cc-usa-1
r-usa-vvip-48,b-usa-184,cc-usa-1
r-usa-vip-966,b-usa-187,cc-usa-1
r-usa-vip-620,b-usa-188,cc-usa-1
r-usa-iii-693,b-usa-19,cc-usa-1
r-usa-vvip-775,b-usa-190,cc-usa-1
r-usa-iii-968,b-usa-193,cc-usa-1
r-usa-ii-937,b-usa-193,cc-usa-2
r-usa-vip-340,b-usa-198,cc-usa-2
r-usa-vvip-968,b-usa-2,cc-usa-2
r-usa-iii-231,b-usa-200,cc-usa-1
r-usa-ii-146,b-usa-201,cc-usa-2
r-usa-ii-943,b-usa-202,cc-usa-2
r-usa-vvip-675,b-usa-203,cc-usa-2
r-usa-iii-231,b-usa-205,cc-usa-1
r-usa-vvip-699,b-usa-206,cc-usa-1
r-usa-i-228,b-usa-207,cc-usa-2
r-usa-ii-558,b-usa-210,cc-usa-2
r-usa-i-962,b-usa-211,cc-usa-1
r-usa-i-338,b-usa-214,cc-usa-1
r-usa-vvip-170,b-usa-215,cc-usa-1
r-usa-iii-433,b-usa-216,cc-usa-1
r-usa-vip-189,b-usa-219,cc-usa-2
r-usa-iii-222,b-usa-220,cc-usa-1
r-usa-ii-34,b-usa-223,cc-usa-2
r-usa-ii-767,b-usa-224,cc-usa-1
r-usa-ii-943,b-usa-225,cc-usa-2
r-usa-i-709,b-usa-228,cc-usa-1
r-usa-ii-866,b-usa-229,cc-usa-1
r-usa-i-650,b-usa-231,cc-usa-2
r-usa-vvip-663,b-usa-232,cc-usa-1
r-usa-vip-807,b-usa-235,cc-usa-1
r-usa-i-146,b-usa-236,cc-usa-2
r-usa-i-369,b-usa-237,cc-usa-2
r-usa-vvip-611,b-usa-239,cc-usa-1
r-usa-ii-937,b-usa-24,cc-usa-1
r-usa-i-564,b-usa-242,cc-usa-1
r-usa-vip-807,b-usa-248,cc-usa-2
r-usa-ii-763,b-usa-249,cc-usa-2
r-usa-iii-64,b-usa-250,cc-usa-2
r-usa-ii-50,b-usa-251,cc-usa-1
r-usa-vvip-977,b-usa-255,cc-usa-1
r-usa-vvip-48,b-usa-256,cc-usa-2
r-usa-iii-187,b-usa-259,cc-usa-1
r-usa-ii-113,b-usa-262,cc-usa-1
r-usa-vvip-170,b-usa-264,cc-usa-2
r-usa-ii-933,b-usa-265,cc-usa-1
r-usa-vip-805,b-usa-269,cc-usa-1
r-usa-i-619,b-usa-269,cc-usa-2
r-usa-i-774,b-usa-27,cc-usa-2
r-usa-ii-200,b-usa-270,cc-usa-2
r-usa-i-323,b-usa-274,cc-usa-1
r-usa-iii-8,b-usa-280,cc-usa-1
r-usa-vvip-699,b-usa-284,cc-usa-1
r-usa-i-385,b-usa-285,cc-usa-2
r-usa-i-385,b-usa-285,cc-usa-1
r-usa-iii-238,b-usa-287,cc-usa-2
r-usa-ii-633,b-usa-288,cc-usa-2
r-usa-vip-966,b-usa-29,cc-usa-1
r-usa-iii-234,b-usa-29,cc-usa-2
r-usa-iii-920,b-usa-292,cc-usa-2
r-usa-vvip-699,b-usa-293,cc-usa-2
r-usa-vip-972,b-usa-293,cc-usa-1
r-usa-iii-179,b-usa-295,cc-usa-1
r-usa-vvip-580,b-usa-295,cc-usa-2
r-usa-vvip-643,b-usa-299,cc-usa-1
r-usa-vip-340,b-usa-30,cc-usa-1
r-usa-ii-166,b-usa-306,cc-usa-2
r-usa-vip-321,b-usa-311,cc-usa-2
r-usa-vvip-330,b-usa-312,cc-usa-1
r-usa-ii-200,b-usa-313,cc-usa-1
r-usa-i-646,b-usa-313,cc-usa-2
r-usa-vvip-170,b-usa-316,cc-usa-1
r-usa-i-368,b-usa-317,cc-usa-1
r-usa-vvip-874,b-usa-318,cc-usa-1
r-usa-ii-200,b-usa-319,cc-usa-2
r-usa-ii-633,b-usa-322,cc-usa-2
r-usa-iii-276,b-usa-323,cc-usa-1
r-usa-vvip-481,b-usa-324,cc-usa-1
r-usa-i-52,b-usa-329,cc-usa-2
r-usa-i-369,b-usa-331,cc-usa-2
r-usa-vvip-908,b-usa-334,cc-usa-2
r-usa-vvip-874,b-usa-336,cc-usa-2
r-usa-vvip-13,b-usa-337,cc-usa-1
r-usa-i-6,b-usa-339,cc-usa-1
r-usa-ii-334,b-usa-339,cc-usa-2
r-usa-iii-693,b-usa-341,cc-usa-1
r-usa-vip-340,b-usa-344,cc-usa-1
r-usa-vip-622,b-usa-348,cc-usa-1
r-usa-vip-669,b-usa-351,cc-usa-1
r-usa-i-91,b-usa-354,cc-usa-2
r-usa-i-369,b-usa-36,cc-usa-2
r-usa-vip-669,b-usa-363,cc-usa-1
r-usa-i-923,b-usa-367,cc-usa-2
r-usa-i-619,b-usa-369,cc-usa-2
r-usa-vvip-27,b-usa-37,cc-usa-1
r-usa-vvip-498,b-usa-370,cc-usa-1
r-usa-vip-209,b-usa-373,cc-usa-2
r-usa-i-228,b-usa-374,cc-usa-2
r-usa-ii-904,b-usa-378,cc-usa-2
r-usa-ii-633,b-usa-38,cc-usa-2
r-usa-ii-81,b-usa-380,cc-usa-1
r-usa-ii-763,b-usa-381,cc-usa-1
r-usa-vip-692,b-usa-382,cc-usa-1
r-usa-vip-622,b-usa-385,cc-usa-1
r-usa-vvip-837,b-usa-39,cc-usa-1
r-usa-ii-331,b-usa-392,cc-usa-1
r-usa-vip-825,b-usa-393,cc-usa-1
r-usa-vvip-837,b-usa-399,cc-usa-2
r-usa-iii-433,b-usa-399,cc-usa-1
r-usa-i-338,b-usa-401,cc-usa-2
r-usa-iii-468,b-usa-403,cc-usa-2
r-usa-vip-203,b-usa-407,cc-usa-1
r-usa-vip-115,b-usa-408,cc-usa-2
r-usa-i-433,b-usa-409,cc-usa-1
r-usa-vip-42,b-usa-41,cc-usa-1
r-usa-vvip-249,b-usa-411,cc-usa-1
r-usa-ii-933,b-usa-412,cc-usa-2
r-usa-vvip-13,b-usa-415,cc-usa-2
r-usa-ii-41,b-usa-416,cc-usa-2
r-usa-iii-187,b-usa-417,cc-usa-2
r-usa-vip-669,b-usa-421,cc-usa-1
r-usa-vvip-899,b-usa-424,cc-usa-2
r-usa-iii-179,b-usa-425,cc-usa-1
r-usa-iii-200,b-usa-427,cc-usa-2
r-usa-vip-302,b-usa-427,cc-usa-1
r-usa-vvip-621,b-usa-429,cc-usa-1
r-usa-vip-805,b-usa-43,cc-usa-1
r-usa-ii-959,b-usa-431,cc-usa-2
r-usa-vip-620,b-usa-434,cc-usa-1
r-usa-vvip-481,b-usa-439,cc-usa-1
r-usa-vvip-969,b-usa-439,cc-usa-2
r-usa-iii-968,b-usa-442,cc-usa-1
r-usa-vip-620,b-usa-446,cc-usa-2
r-usa-ii-763,b-usa-448,cc-usa-1
r-usa-vip-620,b-usa-449,cc-usa-2
r-usa-iii-222,b-usa-453,cc-usa-2
r-usa-vvip-874,b-usa-453,cc-usa-1
r-usa-vip-966,b-usa-459,cc-usa-1
r-usa-i-957,b-usa-46,cc-usa-2
r-usa-vip-735,b-usa-46,cc-usa-1
r-usa-ii-113,b-usa-460,cc-usa-1
r-usa-ii-763,b-usa-463,cc-usa-2
r-usa-vvip-688,b-usa-464,cc-usa-1
r-usa-iii-433,b-usa-464,cc-usa-2
r-usa-vip-622,b-usa-465,cc-usa-1
r-usa-vip-825,b-usa-467,cc-usa-1
r-usa-ii-937,b-usa-47,cc-usa-2
r-usa-iii-861,b-usa-470,cc-usa-2
r-usa-vvip-498,b-usa-471,cc-usa-1
r-usa-vvip-977,b-usa-476,cc-usa-1
r-usa-ii-113,b-usa-477,cc-usa-1
r-usa-i-774,b-usa-477,cc-usa-2
r-usa-vip-807,b-usa-48,cc-usa-1
r-usa-i-564,b-usa-481,cc-usa-1
r-usa-vvip-646,b-usa-487,cc-usa-1
r-usa-iii-200,b-usa-487,cc-usa-2
r-usa-vvip-866,b-usa-489,cc-usa-2
r-usa-vvip-643,b-usa-491,cc-usa-1
r-usa-vvip-13,b-usa-491,cc-usa-2
r-usa-vvip-997,b-usa-498,cc-usa-1
r-usa-vip-321,b-usa-50,cc-usa-2
r-usa-vvip-773,b-usa-500,cc-usa-2
r-usa-iii-783,b-usa-502,cc-usa-1
r-usa-vvip-908,b-usa-503,cc-usa-1
r-usa-vvip-252,b-usa-504,cc-usa-1
r-usa-vvip-611,b-usa-505,cc-usa-1
r-usa-i-774,b-usa-506,cc-usa-2
r-usa-vip-203,b-usa-508,cc-usa-1
r-usa-iii-491,b-usa-513,cc-usa-2
r-usa-ii-34,b-usa-517,cc-usa-2
r-usa-i-338,b-usa-518,cc-usa-1
r-usa-i-650,b-usa-523,cc-usa-1
r-usa-ii-113,b-usa-53,cc-usa-1
r-usa-vip-230,b-usa-531,cc-usa-2
r-usa-i-130,b-usa-534,cc-usa-1
r-usa-vip-209,b-usa-537,cc-usa-2
r-usa-i-564,b-usa-538,cc-usa-2
r-usa-i-433,b-usa-539,cc-usa-1
r-usa-iii-968,b-usa-54,cc-usa-1
r-usa-iii-238,b-usa-540,cc-usa-2
r-usa-iii-276,b-usa-545,cc-usa-1
r-usa-iii-418,b-usa-545,cc-usa-2
r-usa-ii-937,b-usa-546,cc-usa-1
r-usa-i-368,b-usa-546,cc-usa-2
r-usa-vvip-866,b-usa-548,cc-usa-2
r-usa-vvip-663,b-usa-551,cc-usa-1
r-usa-i-957,b-usa-552,cc-usa-1
r-usa-iii-945,b-usa-554,cc-usa-2
r-usa-ii-863,b-usa-559,cc-usa-1
r-usa-vip-209,b-usa-560,cc-usa-2
r-usa-iii-369,b-usa-565,cc-usa-1
r-usa-iii-165,b-usa-57,cc-usa-2
r-usa-i-738,b-usa-572,cc-usa-2
r-usa-iii-231,b-usa-573,cc-usa-1
r-usa-vip-825,b-usa-575,cc-usa-2
r-usa-i-774,b-usa-579,cc-usa-1
r-usa-i-64,b-usa-582,cc-usa-2
r-usa-i-52,b-usa-583,cc-usa-1
r-usa-vip-774,b-usa-584,cc-usa-1
r-usa-vip-805,b-usa-586,cc-usa-2
r-usa-ii-785,b-usa-586,cc-usa-1
r-usa-iii-702,b-usa-588,cc-usa-2
r-usa-vip-622,b-usa-592,cc-usa-2
r-usa-ii-923,b-usa-60,cc-usa-1
r-usa-i-94,b-usa-604,cc-usa-1
r-usa-i-356,b-usa-605,cc-usa-2
r-usa-i-356,b-usa-606,cc-usa-2
r-usa-vvip-498,b-usa-608,cc-usa-2
r-usa-ii-854,b-usa-61,cc-usa-2
r-usa-vvip-737,b-usa-612,cc-usa-2
r-usa-ii-866,b-usa-613,cc-usa-2
r-usa-vvip-773,b-usa-614,cc-usa-1
r-usa-vvip-415,b-usa-615,cc-usa-1
r-usa-iii-736,b-usa-619,cc-usa-2
r-usa-iii-468,b-usa-620,cc-usa-2
r-usa-ii-763,b-usa-621,cc-usa-1
r-usa-vvip-609,b-usa-627,cc-usa-1
r-usa-vip-189,b-usa-628,cc-usa-1
r-usa-vip-302,b-usa-63,cc-usa-1
r-usa-iii-382,b-usa-63,cc-usa-2
r-usa-i-6,b-usa-632,cc-usa-1
r-usa-vip-938,b-usa-638,cc-usa-2
r-usa-vvip-691,b-usa-644,cc-usa-1
r-usa-ii-595,b-usa-649,cc-usa-2
r-usa-vip-620,b-usa-652,cc-usa-2
r-usa-i-774,b-usa-653,cc-usa-2
r-usa-i-131,b-usa-659,cc-usa-2
r-usa-i-738,b-usa-66,cc-usa-2
r-usa-ii-848,b-usa-660,cc-usa-2
r-usa-vvip-837,b-usa-661,cc-usa-2
r-usa-vvip-888,b-usa-661,cc-usa-1
r-usa-vvip-249,b-usa-662,cc-usa-1
r-usa-i-31,b-usa-662,cc-usa-2
r-usa-i-52,b-usa-664,cc-usa-2
r-usa-vip-805,b-usa-669,cc-usa-2
r-usa-iii-165,b-usa-671,cc-usa-2
r-usa-iii-382,b-usa-672,cc-usa-2
r-usa-iii-433,b-usa-672,cc-usa-1
r-usa-i-433,b-usa-674,cc-usa-2
r-usa-i-356,b-usa-678,cc-usa-1
r-usa-iii-8,b-usa-680,cc-usa-2
r-usa-vip-302,b-usa-682,cc-usa-1
r-usa-iii-867,b-usa-684,cc-usa-1
r-usa-ii-414,b-usa-685,cc-usa-1
r-usa-i-774,b-usa-690,cc-usa-2
r-usa-ii-193,b-usa-691,cc-usa-1
r-usa-vvip-164,b-usa-691,cc-usa-2
r-usa-vvip-516,b-usa-692,cc-usa-1
r-usa-vvip-969,b-usa-693,cc-usa-1
r-usa-i-398,b-usa-697,cc-usa-2
r-usa-vvip-207,b-usa-699,cc-usa-1
r-usa-vip-972,b-usa-7,cc-usa-2
r-usa-ii-854,b-usa-70,cc-usa-2
r-usa-i-650,b-usa-701,cc-usa-1
r-usa-iii-231,b-usa-706,cc-usa-1
r-usa-vip-830,b-usa-707,cc-usa-2
r-usa-i-369,b-usa-709,cc-usa-1
r-usa-vvip-908,b-usa-711,cc-usa-2
r-usa-iii-64,b-usa-711,cc-usa-1
r-usa-vvip-688,b-usa-717,cc-usa-1
r-usa-vip-936,b-usa-719,cc-usa-1
r-usa-ii-959,b-usa-723,cc-usa-2
r-usa-ii-869,b-usa-724,cc-usa-1
r-usa-i-228,b-usa-725,cc-usa-2
r-usa-i-203,b-usa-725,cc-usa-1
r-usa-iii-920,b-usa-726,cc-usa-2
r-usa-iii-884,b-usa-730,cc-usa-1
r-usa-vip-115,b-usa-731,cc-usa-1
r-usa-vvip-899,b-usa-733,cc-usa-1
r-usa-vvip-170,b-usa-734,cc-usa-2
r-usa-vip-938,b-usa-735,cc-usa-1
r-usa-iii-736,b-usa-735,cc-usa-2
r-usa-i-94,b-usa-742,cc-usa-1
r-usa-i-203,b-usa-745,cc-usa-2
r-usa-i-52,b-usa-746,cc-usa-1
r-usa-iii-64,b-usa-746,cc-usa-2
r-usa-vvip-888,b-usa-748,cc-usa-2
r-usa-i-52,b-usa-750,cc-usa-2
r-usa-vip-786,b-usa-752,cc-usa-2
r-usa-ii-854,b-usa-753,cc-usa-1
r-usa-vip-54,b-usa-753,cc-usa-2
r-usa-i-91,b-usa-755,cc-usa-2
r-usa-vip-209,b-usa-762,cc-usa-2
r-usa-vvip-48,b-usa-763,cc-usa-2
r-usa-vip-830,b-usa-763,cc-usa-1
r-usa-i-130,b-usa-766,cc-usa-2
r-usa-iii-231,b-usa-767,cc-usa-2
r-usa-iii-920,b-usa-768,cc-usa-1
r-usa-vvip-170,b-usa-77,cc-usa-2
r-usa-vvip-48,b-usa-775,cc-usa-2
r-usa-i-356,b-usa-779,cc-usa-2
r-usa-vvip-640,b-usa-78,cc-usa-2
r-usa-i-923,b-usa-780,cc-usa-1
r-usa-ii-41,b-usa-780,cc-usa-2
r-usa-vip-669,b-usa-781,cc-usa-1
r-usa-i-6,b-usa-783,cc-usa-2
r-usa-ii-848,b-usa-783,cc-usa-1
r-usa-vip-669,b-usa-784,cc-usa-2
r-usa-ii-146,b-usa-786,cc-usa-1
r-usa-ii-200,b-usa-787,cc-usa-2
r-usa-iii-999,b-usa-788,cc-usa-1
r-usa-i-130,b-usa-79,cc-usa-1
r-usa-i-31,b-usa-791,cc-usa-1
r-usa-vvip-252,b-usa-791,cc-usa-2
r-usa-ii-633,b-usa-801,cc-usa-2
r-usa-ii-81,b-usa-802,cc-usa-2
r-usa-i-31,b-usa-804,cc-usa-2
r-usa-vvip-646,b-usa-804,cc-usa-1
r-usa-i-336,b-usa-810,cc-usa-1
r-usa-vip-966,b-usa-810,cc-usa-2
r-usa-iii-473,b-usa-813,cc-usa-1
r-usa-iii-801,b-usa-815,cc-usa-1
r-usa-vvip-643,b-usa-816,cc-usa-1
r-usa-iii-8,b-usa-817,cc-usa-1
r-usa-i-433,b-usa-82,cc-usa-1
r-usa-vip-692,b-usa-821,cc-usa-1
r-usa-vvip-481,b-usa-821,cc-usa-2
r-usa-vvip-664,b-usa-823,cc-usa-2
r-usa-vip-825,b-usa-829,cc-usa-2
r-usa-vvip-48,b-usa-83,cc-usa-2
r-usa-vvip-699,b-usa-830,cc-usa-2
r-usa-vvip-170,b-usa-831,cc-usa-2
r-usa-iii-64,b-usa-834,cc-usa-1
r-usa-ii-10,b-usa-836,cc-usa-2
r-usa-ii-785,b-usa-838,cc-usa-1
r-usa-ii-904,b-usa-840,cc-usa-1
r-usa-vip-332,b-usa-842,cc-usa-2
r-usa-iii-222,b-usa-843,cc-usa-2
r-usa-ii-785,b-usa-847,cc-usa-2
r-usa-ii-848,b-usa-849,cc-usa-1
r-usa-vip-692,b-usa-851,cc-usa-2
r-usa-i-228,b-usa-852,cc-usa-2
r-usa-vip-340,b-usa-859,cc-usa-1
r-usa-vvip-643,b-usa-860,cc-usa-1
r-usa-i-915,b-usa-861,cc-usa-1
r-usa-iii-276,b-usa-863,cc-usa-2
r-usa-iii-653,b-usa-869,cc-usa-1
r-usa-iii-369,b-usa-871,cc-usa-1
r-usa-ii-933,b-usa-873,cc-usa-2
r-usa-vvip-516,b-usa-876,cc-usa-2
r-usa-i-564,b-usa-877,cc-usa-1
r-usa-vvip-249,b-usa-882,cc-usa-1
r-usa-i-323,b-usa-884,cc-usa-1
r-usa-vip-302,b-usa-884,cc-usa-2
r-usa-vip-774,b-usa-886,cc-usa-1
r-usa-i-403,b-usa-886,cc-usa-2
r-usa-vvip-50,b-usa-89,cc-usa-1
r-usa-vip-938,b-usa-890,cc-usa-1
r-usa-vip-89,b-usa-894,cc-usa-1
r-usa-iii-653,b-usa-897,cc-usa-1
r-usa-iii-369,b-usa-900,cc-usa-2
r-usa-iii-200,b-usa-903,cc-usa-2
r-usa-vvip-330,b-usa-91,cc-usa-1
r-usa-vip-692,b-usa-912,cc-usa-1
r-usa-ii-633,b-usa-915,cc-usa-2
r-usa-iii-369,b-usa-917,cc-usa-1
r-usa-i-146,b-usa-919,cc-usa-1
r-usa-vvip-13,b-usa-920,cc-usa-1
r-usa-vvip-908,b-usa-927,cc-usa-2
r-usa-i-774,b-usa-934,cc-usa-1
r-usa-i-368,b-usa-935,cc-usa-2
r-usa-iii-179,b-usa-94,cc-usa-1
r-usa-vvip-611,b-usa-942,cc-usa-2
r-usa-vvip-874,b-usa-943,cc-usa-2
r-usa-ii-113,b-usa-944,cc-usa-1
r-usa-vvip-605,b-usa-946,cc-usa-1
r-usa-ii-937,b-usa-951,cc-usa-1
r-usa-ii-923,b-usa-952,cc-usa-2
r-usa-ii-10,b-usa-954,cc-usa-2
r-usa-ii-146,b-usa-955,cc-usa-1
r-usa-vip-936,b-usa-956,cc-usa-1
r-usa-ii-613,b-usa-959,cc-usa-2
r-usa-ii-558,b-usa-961,cc-usa-2
r-usa-vvip-643,b-usa-964,cc-usa-1
r-usa-vip-830,b-usa-966,cc-usa-1
r-usa-iii-801,b-usa-966,cc-usa-2
r-usa-iii-276,b-usa-967,cc-usa-1
r-usa-ii-414,b-usa-968,cc-usa-1
r-usa-iii-884,b-usa-97,cc-usa-2
r-usa-i-323,b-usa-972,cc-usa-2
r-usa-iii-187,b-usa-972,cc-usa-1
r-usa-iii-231,b-usa-977,cc-usa-1
r-usa-i-738,b-usa-979,cc-usa-2
r-usa-vip-89,b-usa-984,cc-usa-1
r-usa-vip-774,b-usa-986,cc-usa-2
r-usa-ii-863,b-usa-987,cc-usa-1
r-usa-i-995,b-usa-987,cc-usa-2
r-usa-iii-884,b-usa-989,cc-usa-1
r-usa-ii-904,b-usa-99,cc-usa-1
r-usa-iii-736,b-usa-990,cc-usa-1
r-usa-vip-89,b-usa-991,cc-usa-1
r-usa-ii-81,b-usa-992,cc-usa-2
r-usa-iii-861,b-usa-997,cc-usa-1
r-usa-vip-972,b-usa-997,cc-usa-2
